tokens;srl_tags
['De', 'Koning', 'ontvangt', 'jaarlijks', 'ten', 'laste', 'van', 'het', 'Rijk', 'uitkeringen', 'naar', 'regels', 'bij', 'de', 'wet', 'te', 'stellen', '.'];['ACTOR', 'O', 'V', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']
['De', 'Koning', 'richt', ',', 'met', 'inachtneming', 'van', 'het', 'openbaar', 'belang', ',', 'zijn', 'Huis', 'in', '.'];['ACTOR', 'O', 'V', ',', 'O', 'O', 'O', 'O', 'OBJ', ',', 'O', 'O', 'O', 'V', '.']
['Alle', 'wetten', 'en', 'koninklijke', 'besluiten', 'worden', 'door', 'de', 'Koning', 'en', 'door', 'een', 'of', 'meer', 'ministers', 'of', 'staatssecretarissen', 'ondertekend', '.'];['O', 'O', 'O', 'O', 'O', 'V', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'V', '.']
['Het', 'koninklijk', 'besluit', 'waarbij', 'de', 'minister', '-', 'president', 'wordt', 'benoemd', ',', 'wordt', 'mede', 'door', 'hem', 'ondertekend', '.'];['O', 'O', 'OBJ', 'O', 'ACTOR', 'O', '-', 'ACTOR', 'V', 'V', ',', 'V', 'O', 'O', 'O', 'V', '.']
['De', 'koninklijke', 'besluiten', 'waarbij', 'de', 'overige', 'ministers', 'en', 'de', 'staatssecretarissen', 'worden', 'benoemd', 'of', 'ontslagen', ',', 'worden', 'mede', 'door', 'de', 'minister', '-', 'president', 'ondertekend', '.'];['ACTOR', 'O', 'OBJ', 'O', 'ACTOR', 'O', 'ACTOR', 'O', 'ACTOR', 'V', 'V', 'O', 'O', ',', 'V', 'O', 'O', 'O', 'ACTOR', '-', 'ACTOR', 'V', '.']
['Elk', 'der', 'kamers', 'benoemt', 'uit', 'de', 'leden', 'een', 'voorzitter', '.'];['O', 'O', 'REC', 'V', 'O', 'O', 'OBJ', 'O', 'OBJ', '.']
['Elk', 'der', 'kamers', 'benoemt', 'een', 'griffier', '.'];['O', 'O', 'REC', 'V', 'O', 'OBJ', '.']
['Elk', 'der', 'kamers', 'kan', 'bij', 'koninklijk', 'besluit', 'worden', 'ontbonden', '.'];['O', 'O', 'REC', 'V', 'O', 'O', 'OBJ', 'V', 'V', '.']
['Jaarlijks', 'op', 'de', 'derde', 'dinsdag', 'van', 'september', 'of', 'op', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'eerder', 'tijdstip', 'wordt', 'door', 'of', 'namens', 'de', 'Koning', 'in', 'een', 'verenigde', 'vergadering', 'van', 'de', 'Staten', '-', 'Generaal', 'een', 'uiteenzetting', 'van', 'het', 'door', 'de', 'regering', 'te', 'voeren', 'beleid', 'gegeven', '.'];['O', 'O', 'ACTOR', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'V', 'O', '.']
['De', 'deuren', 'worden', 'gesloten', ',', 'wanneer', 'een', 'tiende', 'deel', 'van', 'het', 'aantal', 'aanwezige', 'leden', 'het', 'vordert', 'of', 'de', 'voorzitter', 'het', 'nodig', 'oordeelt', '.'];['ACTOR', 'OBJ', 'V', 'V', ',', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'V', 'O', 'ACTOR', 'O', 'V', 'O', 'V', '.']
['De', 'ministers', 'en', 'de', 'staatssecretarissen', 'geven', 'de', 'kamers', 'elk', 'afzonderlijk', 'en', 'in', 'verenigde', 'vergadering', 'mondeling', 'of', 'schriftelijk', 'de', 'door', 'een', 'of', 'meer', 'leden', 'verlangde', 'inlichtingen', 'waarvan', 'het', 'verstrekken', 'niet', 'in', 'strijd', 'is', 'met', 'het', 'belang', 'van', 'de', 'staat', '.'];['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'REC', 'REC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
['De', 'leden', 'van', 'de', 'Raad', 'worden', 'bij', 'koninklijk', 'besluit', 'voor', 'het', 'leven', 'benoemd', '.'];['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'V', 'O', 'OBJ', 'V', 'V', '.']
['Op', 'eigen', 'verzoek', 'en', 'wegens', 'het', 'bereiken', 'van', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'leeftijd', 'worden', 'zij', 'ontslagen', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', 'O', 'V', '.']
['In', 'de', 'gevallen', 'bij', 'de', 'wet', 'aangewezen', 'kunnen', 'zij', 'door', 'de', 'Raad', 'worden', 'geschorst', 'of', 'ontslagen', '.'];['O', 'ACTOR', 'O', 'O', 'ACTOR', 'V', 'O', 'O', 'ACTOR', 'O', 'ACTOR', 'V', 'V', 'O', 'V', '.']
['De', 'leden', 'van', 'de', 'Algemene', 'Rekenkamer', 'worden', 'bij', 'koninklijk', 'besluit', 'voor', 'het', 'leven', 'benoemd', 'uit', 'een', 'voordracht', 'van', 'drie', 'personen', ',', 'opgemaakt', 'door', 'de', 'Tweede', 'Kamer', 'der', 'Staten', '-', 'Generaal', '.'];['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'OBJ', 'OBJ', 'O', 'O', 'OBJ', 'OBJ', 'V', 'O', 'OBJ', 'OBJ', 'O', 'O', 'OBJ', 'OBJ', 'O', ',', 'V', 'O', 'ACTOR', 'OBJ', 'ACTOR', 'ACTOR', 'ACTOR', '-', '.']
['Op', 'eigen', 'verzoek', 'en', 'wegens', 'het', 'bereiken', 'van', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'leeftijd', 'worden', 'zij', 'ontslagen', '.'];['O', 'O', 'V', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'V', 'ACTOR', 'V', '.']
['In', 'de', 'gevallen', 'bij', 'de', 'wet', 'aangewezen', 'kunnen', 'zij', 'door', 'de', 'Hoge', 'Raad', 'worden', 'geschorst', 'of', 'ontslagen', '.'];['O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'V', 'ACTOR', 'O', 'ACTOR', 'O', 'O', 'V', 'O', 'O', 'V', '.']
['De', 'Nationale', 'ombudsman', 'en', 'een', 'substituut', '-', 'ombudsman', 'worden', 'voor', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'termijn', 'benoemd', 'door', 'de', 'Tweede', 'Kamer', 'der', 'Staten', '-', 'Generaal', '.'];['ACTOR', 'O', 'ACTOR', 'O', 'REC', '-', 'O', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'V', 'O', 'O', 'ACTOR', 'O', 'O', 'O', '-', 'O', '.']
['Op', 'eigen', 'verzoek', 'en', 'wegens', 'het', 'bereiken', 'van', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'leeftijd', 'worden', 'zij', 'ontslagen', '.'];['O', 'ACTOR', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'V', '.']
['In', 'de', 'gevallen', 'bij', 'de', 'wet', 'aangewezen', 'kunnen', 'zij', 'door', 'de', 'Tweede', 'Kamer', 'der', 'Staten', '-', 'Generaal', 'worden', 'geschorst', 'of', 'ontslagen', '.'];['O', 'ACTOR', 'O', 'O', 'O', 'O', 'V', 'O', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', '-', 'O', 'V', 'O', 'O', 'O', '.']
['De', 'adviezen', 'van', 'de', 'in', 'dit', 'hoofdstuk', 'bedoelde', 'colleges', 'worden', 'openbaar', 'gemaakt', 'volgens', 'regels', 'bij', 'de', 'wet', 'te', 'stellen', '.'];['ACTOR', 'O', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'ACTOR', 'V', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
['Adviezen', ',', 'uitgebracht', 'ter', 'zake', 'van', 'voorstellen', 'van', 'wet', 'die', 'door', 'of', 'vanwege', 'de', 'Koning', 'worden', 'ingediend', ',', 'worden', ',', 'behoudens', 'bij', 'de', 'wet', 'te', 'bepalen', 'uitzonderingen', ',', 'aan', 'de', 'Staten', '-', 'Generaal', 'overgelegd', '.'];['O', ',', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', ',', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', '.']
['Voorstellen', 'van', 'wet', 'kunnen', 'worden', 'ingediend', 'door', 'of', 'vanwege', 'de', 'Koning', 'en', 'door', 'de', 'Tweede', 'Kamer', 'der', 'Staten', '-', 'Generaal', '.'];['O', 'O', 'O', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'O', '-', 'O', '.']
['Voorstellen', 'van', 'wet', 'waarvoor', 'behandeling', 'door', 'de', 'Staten', '-', 'Generaal', 'in', 'verenigde', 'vergadering', 'is', 'voorgeschreven', ',', 'kunnen', 'worden', 'ingediend', 'door', 'of', 'vanwege', 'de', 'Koning', 'en', ',', 'voor', 'zover', 'de', 'betreffende', 'artikelen', 'van', 'dit', 'toelaten', ',', 'door', 'de', 'verenigde', 'vergadering', '.'];['ACTOR', 'O', 'OBJ', 'O', 'O', 'V', 'REC', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
['Voorstellen', 'van', 'wet', ',', 'in', 'te', 'dienen', 'door', 'de', 'Tweede', 'Kamer', 'onderscheidenlijk', 'de', 'verenigde', 'vergadering', ',', 'worden', 'bij', 'haar', 'door', 'een', 'of', 'meer', 'leden', 'aanhangig', 'gemaakt', '.'];['V', 'O', 'OBJ', ',', 'O', 'O', 'V', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', '.', 'O']
['Voorstellen', 'van', 'wet', ',', 'ingediend', 'door', 'of', 'vanwege', 'de', 'Koning', ',', 'worden', 'gezonden', 'aan', 'de', 'Tweede', 'Kamer', 'of', ',', 'indien', 'daarvoor', 'behandeling', 'door', 'de', 'Staten', '-', 'Generaal', 'in', 'verenigde', 'vergadering', 'is', 'voorgeschreven', ',', 'aan', 'deze', 'vergadering', '.'];['V', 'O', 'OBJ', ',', 'V', 'O', 'O', 'O', 'ACTOR', ',', 'V', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.', 'O']
['Zolang', 'een', 'voorstel', 'van', 'wet', 'niet', 'door', 'de', 'Staten', '-', 'Generaal', 'is', 'aangenomen', ',', 'kan', 'het', 'door', 'of', 'vanwege', 'de', 'indiener', 'worden', 'ingetrokken', '.'];['O', 'ACTOR', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'ACTOR', ',', 'V', 'O', 'O', 'O', ',', 'V', 'O', 'O', 'O', 'O', 'O', 'V', 'O', '.', 'O']
['Zolang', 'de', 'Tweede', 'Kamer', 'onderscheidenlijk', 'de', 'verenigde', 'vergadering', 'een', 'door', 'haar', 'in', 'te', 'dienen', 'voorstel', 'van', 'wet', 'niet', 'heeft', 'aangenomen', ',', 'kan', 'het', 'door', 'het', 'lid', 'of', 'de', 'leden', 'door', 'wie', 'het', 'aanhangig', 'is', 'gemaakt', ',', 'worden', 'ingetrokken', '.'];['O', 'ACTOR', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'V', ',', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', '.', 'O']
['Het', 'Koninkrijk', 'wordt', 'niet', 'in', 'oorlog', 'verklaard', 'dan', 'na', 'voorafgaande', 'toestemming', 'van', 'de', 'Staten', '-', 'Generaal', '.'];['O', 'ACTOR', 'V', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'O', 'O', 'O', 'O', '.']
['De', 'regering', 'verstrekt', 'de', 'Staten', '-', 'Generaal', 'vooraf', 'inlichtingen', 'over', 'de', 'inzet', 'of', 'het', 'ter', 'beschikking', 'stellen', 'van', 'de', 'krijgsmacht', 'ter', 'handhaving', 'of', 'bevordering', 'van', 'de', 'internationale', 'rechtsorde', '.'];['ACTOR', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
['In', 'dat', 'geval', 'worden', 'inlichtingen', 'zo', 'spoedig', 'mogelijk', 'verstrekt', '.'];['O', 'O', 'O', 'V', 'OBJ', 'O', 'O', 'O', 'V', '.']
['Belastingen', 'van', 'het', 'Rijk', 'worden', 'geheven', 'uit', 'kracht', 'van', 'een', 'wet', '.', 'Andere', 'heffingen', 'van', 'het', 'Rijk', 'worden', 'bij', 'de', 'wet', 'geregeld', '.'];['OBJ', 'O', 'ACTOR', 'V', 'O', 'V', 'O', 'O', 'O', 'OBJ', 'O', '.', 'O', 'OBJ', 'O', 'ACTOR', 'V', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', '.']
['Jaarlijks', 'worden', 'voorstellen', 'van', 'algemene', 'begrotingswetten', 'door', 'of', 'vanwege', 'de', 'Koning', 'ingediend', 'op', 'het', 'in', 'bedoelde', 'tijdstip', '.'];['O', 'V', 'V', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
['De', 'verantwoording', 'van', 'de', 'ontvangsten', 'en', 'de', 'uitgaven', 'van', 'het', 'Rijk', 'wordt', 'aan', 'de', 'Staten', '-', 'Generaal', 'gedaan', 'overeenkomstig', 'de', 'bepalingen', 'van', 'de', 'wet', '.'];['ACTOR', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'O', 'ACTOR', 'O', 'O', 'ACTOR', 'V', 'O', 'ACTOR', 'O', 'O', '-', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', '.']
['De', 'door', 'de', 'Algemene', 'Rekenkamer', 'goedgekeurde', 'rekening', 'wordt', 'aan', 'de', 'Staten', '-', 'Generaal', 'overgelegd', '.'];['ACTOR', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'OBJ', 'V', 'O', 'ACTOR', '-', 'O', 'V', '.']
['Een', 'straf', 'van', 'vrijheidsontneming', 'kan', 'uitsluitend', 'door', 'de', 'rechterlijke', 'macht', 'worden', 'opgelegd', '.'];['O', 'OBJ', 'O', 'ACTOR', 'V', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'V', '.']
['De', 'leden', 'van', 'de', 'rechterlijke', 'macht', 'met', 'rechtspraak', 'belast', 'en', 'de', 'procureur', '-', 'generaal', 'bij', 'de', 'Hoge', 'Raad', 'worden', 'bij', 'koninklijk', 'besluit', 'voor', 'het', 'leven', 'benoemd', '.'];['ACTOR', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'V', 'O', 'ACTOR', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'V', 'O', '.']
['Op', 'eigen', 'verzoek', 'en', 'wegens', 'het', 'bereiken', 'van', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'leeftijd', 'worden', 'zij', 'ontslagen', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', '.']
['In', 'de', 'gevallen', 'bij', 'de', 'wet', 'bepaald', 'kunnen', 'zij', 'door', 'een', 'bij', 'de', 'wet', 'aangewezen', ',', 'tot', 'de', 'rechterlijke', 'macht', 'behorend', 'gerecht', 'worden', 'geschorst', 'of', 'ontslagen', '.'];['O', 'ACTOR', 'O', 'O', 'O', 'ACTOR', 'O', 'V', 'ACTOR', 'O', 'O', 'O', 'ACTOR', 'O', 'V', ',', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'V', 'V', 'O', '.']
['De', 'leden', 'van', 'de', 'Hoge', 'Raad', 'der', 'Nederlanden', 'worden', 'benoemd', 'uit', 'een', 'voordracht', 'van', 'drie', 'personen', ',', 'opgemaakt', 'door', 'de', 'Tweede', 'Kamer', 'der', 'Staten', '-', 'Generaal', '.'];['O', 'ACTOR', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'V', 'V', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
['De', 'leden', 'van', 'de', 'Staten', '-', 'Generaal', ',', 'de', 'ministers', 'en', 'de', 'staatssecretarissen', 'staan', 'wegens', 'ambtsmisdrijven', 'in', 'die', 'betrekkingen', 'gepleegd', ',', 'ook', 'na', 'hun', 'aftreden', 'terecht', 'voor', 'de', 'Hoge', 'Raad', '.'];['O']
['Met', 'uitzondering', 'van', 'de', 'gevallen', 'bij', 'de', 'wet', 'bepaald', 'vinden', 'de', 'terechtzittingen', 'in', 'het', 'openbaar', 'plaats', 'en', 'houden', 'de', 'vonnissen', 'de', 'gronden', 'in', 'waarop', 'zij', 'rusten', '.'];['O', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'V', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
['De', 'uitspraak', 'geschiedt', 'in', 'het', 'openbaar', '.'];['ACTOR', 'OBJ', 'V', 'O', 'O', 'O', '.']
['Behoudens', 'in', 'de', 'gevallen', 'bedoeld', 'in', ',', 'kan', 'de', 'toekenning', 'van', 'bevoegdheden', ',', 'als', 'bedoeld', 'in', ',', 'aan', 'andere', 'organen', 'dan', 'die', ',', 'genoemd', 'in', ',', 'alleen', 'door', 'provinciale', 'staten', 'onderscheidenlijk', 'de', 'gemeenteraad', 'geschieden', '.'];['O', 'O', 'ACTOR', 'O', 'O', 'O', '.', 'V', 'O', 'OBJ', 'OBJ', '.', 'O', 'O', 'O', '.', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']
['De', 'leden', 'van', 'provinciale', 'staten', 'en', 'van', 'de', 'gemeenteraad', 'worden', 'rechtstreeks', 'gekozen', 'door', 'de', 'Nederlanders', ',', 'tevens', 'ingezetenen', 'van', 'de', 'provincie', 'onderscheidenlijk', 'de', 'gemeente', ',', 'die', 'voldoen', 'aan', 'de', 'vereisten', 'die', 'gelden', 'voor', 'de', 'verkiezing', 'van', 'de', 'Tweede', 'Kamer', 'der', 'Staten', '-', 'Generaal', '.'];['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'O', 'ACTOR', 'O', 'O', 'V', 'O', 'O', 'O', 'ACTOR', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '.']
['De', 'leden', 'worden', 'gekozen', 'op', 'de', 'grondslag', 'van', 'evenredige', 'vertegenwoordiging', 'binnen', 'door', 'de', 'wet', 'te', 'stellen', 'grenzen', '.'];['ACTOR', 'ACTOR', 'V', 'V', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'O', 'O', 'O', 'V', 'O', 'O', 'O', '.']
['De', 'leden', 'stemmen', 'zonder', 'last', '.'];['ACTOR', 'ACTOR', 'V', 'O', 'O', '.']
['De', 'commissaris', 'van', 'de', 'Koning', 'en', 'de', 'burgemeester', 'worden', 'aangesteld', ',', 'geschorst', 'en', 'ontslagen', 'op', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'wijze', '.', 'Krachtens', 'de', 'wet', 'kunnen', 'nadere', 'regels', 'worden', 'gesteld', 'over', 'de', 'daarbij', 'te', 'volgen', 'procedures', '.'];['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
['Bij', 'de', 'wet', 'kunnen', 'in', 'het', 'Caribische', 'deel', 'van', 'Nederland', 'andere', 'territoriale', 'openbare', 'lichamen', 'dan', 'provincies', 'en', 'gemeenten', 'worden', 'ingesteld', 'en', 'opgeheven', '.'];['O', 'ACTOR', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', '.']
['In', 'deze', 'openbare', 'lichamen', 'worden', 'verkiezingen', 'gehouden', 'voor', 'een', 'kiescollege', 'voor', 'de', 'Eerste', 'Kamer', '.'];['O', 'O', 'O', 'O', 'V', 'O', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'O', 'O', '.']
['De', 'opheffing', 'en', 'instelling', 'van', 'waterschappen', ',', 'de', 'regeling', 'van', 'hun', 'taken', 'en', 'inrichting', ',', 'alsmede', 'de', 'samenstelling', 'van', 'hun', 'besturen', ',', 'geschieden', 'volgens', 'bij', 'de', 'wet', 'te', 'stellen', 'regels', 'bij', 'provinciale', 'verordening', ',', 'voor', 'zover', 'bij', 'of', 'krachtens', 'de', 'wet', 'niet', 'anders', 'is', 'bepaald', '.'];['ACTOR', 'O', 'O', 'V', 'O', 'O', 'O', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']
['Bij', 'of', 'krachtens', 'de', 'wet', 'kunnen', 'openbare', 'lichamen', 'voor', 'beroep', 'en', 'bedrijf', 'en', 'andere', 'openbare', 'lichamen', 'worden', 'ingesteld', 'en', 'opgeheven', '.'];['O', 'O', 'O', 'ACTOR', 'O', 'V', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'V', 'V', 'O', 'O', 'Punctuation']
