;id;Nummer;Lid;Opsomming niveau 1;Opsomming niveau 2;Opsomming niveau 3;Zin;Versie;jci 1.3;Brontekst;Action;Object;Actor;Recipient;Opmerkingen;Action 2;Object 2;Actor 2;Recipient 2;Action 3;Object 3;Actor 3;Recipient 3;tokens;srl_tags
64;64;Hoofdstuk2;Paragraaf1;Artikel30;Lid1;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=30&lid=1&z=2018-12-21&g=2018-12-21;Wanneer vooruitzicht bestaat dat een opvolger zal ontbreken ,  kan deze worden benoemd bij een wet .  Het voorstel wordt door of vanwege de Koning ingediend .  Na de indiening van het voorstel worden de kamers ontbonden .  De nieuwe kamers beraadslagen en besluiten ter zake in verenigde vergadering .  Zij kunnen het voorstel alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen . ;wordt ingediend;Het voorstel;de Koning;;;worden ontbonden;de kamers;;;kunnen aannemen;Zij;het voorstel;;['Zij', 'kunnen', 'het', 'voorstel', 'alleen', 'aannemen', 'met', 'ten', 'minste', 'twee', 'derden', 'van', 'het', 'aantal', 'uitgebrachte', 'stemmen', '.'];['OBJ', 'V', 'ACTOR', 'ACTOR', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
65;65;Hoofdstuk2;Paragraaf1;Artikel30;Lid2;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=30&lid=2&z=2018-12-21&g=2018-12-21;Indien bij overlijden van de Koning of bij afstand van het koningschap een opvolger ontbreekt ,  worden de kamers ontbonden .  De nieuwe kamers komen binnen vier maanden na het overlijden of de afstand in verenigde vergadering bijeen ten einde te besluiten omtrent de benoeming van een Koning .  Zij kunnen een opvolger alleen benoemen met ten minste twee derden van het aantal uitgebrachte stemmen . ;worden ontbonden;de kamers;;;;;;;;;;;;['Indien', 'bij', 'overlijden', 'van', 'de', 'Koning', 'of', 'bij', 'afstand', 'van', 'het', 'koningschap', 'een', 'opvolger', 'ontbreekt', ',', 'worden', 'de', 'kamers', 'ontbonden', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'OBJ', 'OBJ', 'V', '.']
88;88;Hoofdstuk2;Paragraaf1;Artikel40;Lid1;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=40&lid=1&z=2018-12-21&g=2018-12-21;De Koning ontvangt jaarlijks ten laste van het Rijk uitkeringen naar regels bij de wet te stellen .  Deze wet bepaalt aan welke andere leden van het koninklijk huis uitkeringen ten laste van het Rijk worden toegekend en regelt deze uitkeringen . ;ontvangt;uitkeringen;De Koning;het Rijk;;;;;;;;;;['De', 'Koning', 'ontvangt', 'jaarlijks', 'ten', 'laste', 'van', 'het', 'Rijk', 'uitkeringen', 'naar', 'regels', 'bij', 'de', 'wet', 'te', 'stellen', '.'];['ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'REC', 'REC', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
91;91;Hoofdstuk2;Paragraaf1;Artikel41;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=41&z=2018-12-21&g=2018-12-21;De Koning richt ,  met inachtneming van het openbaar belang ,  zijn Huis in . ;richt in;zijn Huis;De Koning;;;;;;;;;;;['De', 'Koning', 'richt', ',', 'met', 'inachtneming', 'van', 'het', 'openbaar', 'belang', ',', 'zijn', 'Huis', 'in', '.'];['ACTOR', 'ACTOR', 'V', ',', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'OBJ', 'OBJ', 'O', '.']
102;102;Hoofdstuk2;Paragraaf2;Artikel47;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=2&artikel=47&z=2018-12-21&g=2018-12-21;Alle wetten en koninklijke besluiten worden door de Koning en door een of meer ministers of staatssecretarissen ondertekend . ;worden ondertekend;Alle wetten en koninklijke besluiten;de Koning $ een of meer ministers of staatssecretarissen;;;;;;;;;;;['Alle', 'wetten', 'en', 'koninklijke', 'besluiten', 'worden', 'door', 'de', 'Koning', 'en', 'door', 'een', 'of', 'meer', 'ministers', 'of', 'staatssecretarissen', 'ondertekend', '.'];['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'V', '.']
103;103;Hoofdstuk2;Paragraaf2;Artikel48;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=2&artikel=48&z=2018-12-21&g=2018-12-21;Het koninklijk besluit waarbij de minister - president wordt benoemd ,  wordt mede door hem ondertekend .  De koninklijke besluiten waarbij de overige ministers en de staatssecretarissen worden benoemd of ontslagen ,  worden mede door de minister - president ondertekend . ;wordt mede ondertekend;Het koninklijk besluit waarbij de minister-president wordt benoemd;hem;De koninklijke besluiten waarbij de overige ministers en de staatssecretarissen worden benoemd of ontslagen;;worden mede ondertekend;de minister-president;;;;;;;['Het', 'koninklijk', 'besluit', 'waarbij', 'de', 'minister', '-', 'president', 'wordt', 'benoemd', ',', 'wordt', 'mede', 'door', 'hem', 'ondertekend', '.'];['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', '-', 'OBJ', 'OBJ', 'OBJ', ',', 'V', 'O', 'O', 'ACTOR', 'V', '.']
103;103;Hoofdstuk2;Paragraaf2;Artikel48;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=2&artikel=48&z=2018-12-21&g=2018-12-21;Het koninklijk besluit waarbij de minister - president wordt benoemd ,  wordt mede door hem ondertekend .  De koninklijke besluiten waarbij de overige ministers en de staatssecretarissen worden benoemd of ontslagen ,  worden mede door de minister - president ondertekend . ;wordt mede ondertekend;Het koninklijk besluit waarbij de minister-president wordt benoemd;hem;De koninklijke besluiten waarbij de overige ministers en de staatssecretarissen worden benoemd of ontslagen;;worden mede ondertekend;de minister-president;;;;;;;['De', 'koninklijke', 'besluiten', 'waarbij', 'de', 'overige', 'ministers', 'en', 'de', 'staatssecretarissen', 'worden', 'benoemd', 'of', 'ontslagen', ',', 'worden', 'mede', 'door', 'de', 'minister', '-', 'president', 'ondertekend', '.'];['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', ',', 'V', 'V', 'O', 'OBJ', 'OBJ', '-', 'OBJ', 'V', '.']
126;126;Hoofdstuk3;Paragraaf1;Artikel61;Lid1;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=3&paragraaf=1&artikel=61&lid=1&z=2018-12-21&g=2018-12-21;Elk der kamers benoemt uit de leden een voorzitter . ;benoemt;een voorzitter;Elk der kamers;;;;;;;;;;;['Elk', 'der', 'kamers', 'benoemt', 'uit', 'de', 'leden', 'een', 'voorzitter', '.'];['ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', '.']
127;127;Hoofdstuk3;Paragraaf1;Artikel61;Lid2;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=3&paragraaf=1&artikel=61&lid=2&z=2018-12-21&g=2018-12-21;Elk der kamers benoemt een griffier .  Deze en de overige ambtenaren van de kamers kunnen niet tevens lid van de Staten - Generaal zijn . ;benoemt;een griffier;Elk der kamers;;;;;;;;;;;['Elk', 'der', 'kamers', 'benoemt', 'een', 'griffier', '.'];['ACTOR', 'ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', '.']
130;130;Hoofdstuk3;Paragraaf1;Artikel64;Lid1;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=3&paragraaf=1&artikel=64&lid=1&z=2018-12-21&g=2018-12-21;Elk der kamers kan bij koninklijk besluit worden ontbonden . ;kan worden ontbonden;Elk der kamers;;;;;;;;;;;;['Elk', 'der', 'kamers', 'kan', 'bij', 'koninklijk', 'besluit', 'worden', 'ontbonden', '.'];['ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'V', 'V', '.']
134;134;Hoofdstuk3;Paragraaf2;Artikel65;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=3&paragraaf=2&artikel=65&z=2018-12-21&g=2018-12-21;Jaarlijks op de derde dinsdag van september of op een bij de wet te bepalen eerder tijdstip wordt door of namens de Koning in een verenigde vergadering van de Staten - Generaal een uiteenzetting van het door de regering te voeren beleid gegeven . ;wordt gegeven;een uiteenzetting van het door de regering te voeren beleid;de Koning;;;;;;;;;;;['Jaarlijks', 'op', 'de', 'derde', 'dinsdag', 'van', 'september', 'of', 'op', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'eerder', 'tijdstip', 'wordt', 'door', 'of', 'namens', 'de', 'Koning', 'in', 'een', 'verenigde', 'vergadering', 'van', 'de', 'Staten', '-', 'Generaal', 'een', 'uiteenzetting', 'van', 'het', 'door', 'de', 'regering', 'te', 'voeren', 'beleid', 'gegeven', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', '.']
136;136;Hoofdstuk3;Paragraaf2;Artikel66;Lid2;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=3&paragraaf=2&artikel=66&lid=2&z=2018-12-21&g=2018-12-21;De deuren worden gesloten ,  wanneer een tiende deel van het aantal aanwezige leden het vordert of de voorzitter het nodig oordeelt . ;worden gesloten;De deuren;;;;;;;;;;;;['De', 'deuren', 'worden', 'gesloten', ',', 'wanneer', 'een', 'tiende', 'deel', 'van', 'het', 'aantal', 'aanwezige', 'leden', 'het', 'vordert', 'of', 'de', 'voorzitter', 'het', 'nodig', 'oordeelt', '.'];['OBJ', 'OBJ', 'V', 'V', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
142;142;Hoofdstuk3;Paragraaf2;Artikel68;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=3&paragraaf=2&artikel=68&z=2018-12-21&g=2018-12-21;De ministers en de staatssecretarissen geven de kamers elk afzonderlijk en in verenigde vergadering mondeling of schriftelijk de door een of meer leden verlangde inlichtingen waarvan het verstrekken niet in strijd is met het belang van de staat . ;geven;inlichtingen;De ministers $ de staatssecretarissen;de kamers;;;;;;;;;;['De', 'ministers', 'en', 'de', 'staatssecretarissen', 'geven', 'de', 'kamers', 'elk', 'afzonderlijk', 'en', 'in', 'verenigde', 'vergadering', 'mondeling', 'of', 'schriftelijk', 'de', 'door', 'een', 'of', 'meer', 'leden', 'verlangde', 'inlichtingen', 'waarvan', 'het', 'verstrekken', 'niet', 'in', 'strijd', 'is', 'met', 'het', 'belang', 'van', 'de', 'staat', '.'];['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'REC', 'REC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
153;153;Hoofdstuk4;Artikel74;Lid2;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=4&artikel=74&lid=2&z=2018-12-21&g=2018-12-21;De leden van de Raad worden bij koninklijk besluit voor het leven benoemd . ;worden benoemd;De leden van de Raad;;;;;;;;;;;;['De', 'leden', 'van', 'de', 'Raad', 'worden', 'bij', 'koninklijk', 'besluit', 'voor', 'het', 'leven', 'benoemd', '.'];['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']
154;154;Hoofdstuk4;Artikel74;Lid3;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=4&artikel=74&lid=3&z=2018-12-21&g=2018-12-21;Op eigen verzoek en wegens het bereiken van een bij de wet te bepalen leeftijd worden zij ontslagen . ;worden ontslagen;zij;;;;;;;;;;;;['Op', 'eigen', 'verzoek', 'en', 'wegens', 'het', 'bereiken', 'van', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'leeftijd', 'worden', 'zij', 'ontslagen', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'OBJ', 'V', '.']
155;155;Hoofdstuk4;Artikel74;Lid4;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=4&artikel=74&lid=4&z=2018-12-21&g=2018-12-21;In de gevallen bij de wet aangewezen kunnen zij door de Raad worden geschorst of ontslagen . ;kunnen worden geschorst $ kunnen worden ontslagen;zij;de Raad;;;;;;;;;;;['In', 'de', 'gevallen', 'bij', 'de', 'wet', 'aangewezen', 'kunnen', 'zij', 'door', 'de', 'Raad', 'worden', 'geschorst', 'of', 'ontslagen', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'V', 'V', 'O', 'V', '.']
160;160;Hoofdstuk4;Artikel77;Lid1;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=4&artikel=77&lid=1&z=2018-12-21&g=2018-12-21;De leden van de Algemene Rekenkamer worden bij koninklijk besluit voor het leven benoemd uit een voordracht van drie personen ,  opgemaakt door de Tweede Kamer der Staten - Generaal . ;worden benoemd;De leden van de Algemene Rekenkamer;;;;;;;;;;;;['De', 'leden', 'van', 'de', 'Algemene', 'Rekenkamer', 'worden', 'bij', 'koninklijk', 'besluit', 'voor', 'het', 'leven', 'benoemd', 'uit', 'een', 'voordracht', 'van', 'drie', 'personen', ',', 'opgemaakt', 'door', 'de', 'Tweede', 'Kamer', 'der', 'Staten', '-', 'Generaal', '.'];['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '.']
161;161;Hoofdstuk4;Artikel77;Lid2;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=4&artikel=77&lid=2&z=2018-12-21&g=2018-12-21;Op eigen verzoek en wegens het bereiken van een bij de wet te bepalen leeftijd worden zij ontslagen . ;worden ontslagen;zij;;;;;;;;;;;;['Op', 'eigen', 'verzoek', 'en', 'wegens', 'het', 'bereiken', 'van', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'leeftijd', 'worden', 'zij', 'ontslagen', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'OBJ', 'V', '.']
162;162;Hoofdstuk4;Artikel77;Lid3;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=4&artikel=77&lid=3&z=2018-12-21&g=2018-12-21;In de gevallen bij de wet aangewezen kunnen zij door de Hoge Raad worden geschorst of ontslagen . ;kunnen worden geschorst $ kunnen worden ontslagen;zij;de Hoge Raad;;;;;;;;;;;['In', 'de', 'gevallen', 'bij', 'de', 'wet', 'aangewezen', 'kunnen', 'zij', 'door', 'de', 'Hoge', 'Raad', 'worden', 'geschorst', 'of', 'ontslagen', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'V', 'V', 'O', 'V', '.']
167;167;Hoofdstuk4;Artikel78a;Lid2;;;;21-12-2018;jci1.3:c:BWBR0001840&hoofdstuk=4&artikel=78a&lid=2&z=2018-12-21&g=2018-12-21;De Nationale ombudsman en een substituut - ombudsman worden voor een bij de wet te bepalen termijn benoemd door de Tweede Kamer der Staten - Generaal .  Op eigen verzoek en wegens het bereiken van een bij de wet te bepalen leeftijd worden zij ontslagen .  In de gevallen bij de wet aangewezen kunnen zij door de Tweede Kamer der Staten - Generaal worden geschorst of ontslagen .  De wet regelt overigens hun rechtspositie . ;worden benoemd;De Nationale ombudsman $ een substituut-ombudsman;de Tweede Kamer der Staten-Generaal;;;worden ontslagen;zij;;;kunnen worden geschorst $ kunnen worden ontslagen;zij;de Tweede Kamer;;['De', 'Nationale', 'ombudsman', 'en', 'een', 'substituut', '-', 'ombudsman', 'worden', 'voor', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'termijn', 'benoemd', 'door', 'de', 'Tweede', 'Kamer', 'der', 'Staten', '-', 'Generaal', '.'];['OBJ', 'OBJ', 'OBJ', 'O', 'OBJ', 'OBJ', '-', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', '-', 'ACTOR', '.']
