GT,Claude,Manual,Llama,o1,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,GT_len,Llama_len,o1_len,Claude_len,Manual_len
"['ACTOR', 'ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', '.']","['ACTOR', 'ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', '.']","['ACTOR', 'ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', '.']","['O', 'O', 'REC', 'V', 'O', 'OBJ', '.']","['O', 'O', 'ACTOR', 'V', 'OBJ', 'OBJ', '.']",,,,,,7,7,7,7,7
"['ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'V', 'V', '.']","['ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'OBJ', 'OBJ', 'V', 'V', '.']","['ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'V', 'V', '.']","['O', 'O', 'REC', 'V', 'O', 'O', 'OBJ', 'V', 'V', '.']","['O', 'O', 'ACTOR', 'V', 'O', 'O', 'O', 'V', 'V', '.']",,,,,,10,10,10,10,10
"['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'REC', 'REC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'REC', 'REC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'REC', 'REC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'REC', 'REC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'REC', 'REC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']",,,,,,39,39,39,39,39
"['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']","['ACTOR', 'ACTOR', 'O', 'O', 'O', 'V', 'O', 'OBJ', 'OBJ', 'O', 'O', 'O', 'V', '.']","['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']","['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'V', 'O', 'OBJ', 'V', 'V', '.']","['O', 'ACTOR', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']",,,,,,14,14,14,14,14
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'OBJ', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'ACTOR', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'OBJ', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', 'O', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'V', 'ACTOR', 'V', '.']",,,,,,19,19,19,19,19
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'V', 'V', 'O', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'ACTOR', 'O', 'O', 'O', 'ACTOR', 'V', 'V', 'O', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'V', 'V', 'O', 'V', '.']","['O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'V', 'ACTOR', 'O', 'ACTOR', 'O', 'O', 'V', 'O', 'O', 'V', '.']","['O', 'O', 'OBJ', 'O', 'O', 'OBJ', 'O', 'V', 'ACTOR', 'O', 'O', 'REC', 'REC', 'V', 'V', 'O', 'V', '.']",,,,,,18,18,18,18,18
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', '-', 'ACTOR', 'V', 'V', 'O', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'V', 'V', 'O', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', '-', 'ACTOR', 'V', 'V', 'O', 'V', '.']","['O', 'ACTOR', 'O', 'O', 'O', 'O', 'V', 'O', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', '-', 'O', 'V', 'O', 'O', 'O', '.']","['O', 'O', 'OBJ', 'O', 'O', 'OBJ', 'O', 'V', 'ACTOR', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'ACTOR', '-', 'ACTOR', 'V', 'V', 'O', 'V', '.']",,,,,,22,22,22,22,22
"['OBJ', 'OBJ', 'V', 'V', 'V', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '.']","['O', 'ACTOR', 'V', 'O', 'O', 'OBJ', 'V', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'ACTOR', '-', 'ACTOR', '.']","['OBJ', 'OBJ', 'V', 'O', 'V', 'V', 'V', 'O', 'O', 'OBJ', 'OBJ', 'O', 'ACTOR', 'ACTOR', '-', 'ACTOR', '.']","['O', 'ACTOR', 'V', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'O', 'O', 'O', 'O', '.']","['O', 'ACTOR', 'V', 'O', 'O', 'OBJ', 'V', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'ACTOR', '-', 'ACTOR', '.']",,,,,,17,17,17,17,17
"['O', 'O', 'O', 'V', 'OBJ', 'O', 'O', 'O', 'V', '.']","['O', 'O', 'O', 'V', 'OBJ', 'O', 'O', 'O', 'V', '.']","['O', 'O', 'O', 'V', 'OBJ', 'O', 'O', 'O', 'V', '.']","['O', 'O', 'O', 'V', 'OBJ', 'O', 'O', 'O', 'V', '.']","['O', 'O', 'O', 'V', 'ACTOR', 'O', 'O', 'O', 'V', '.']",,,,,,10,10,10,10,10
"['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'REC', 'REC', '-', 'REC', 'V', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['O', 'OBJ', 'O', 'O', 'OBJ', 'O', 'O', 'OBJ', 'O', 'O', 'OBJ', 'V', 'O', 'O', 'REC', '-', 'REC', 'V', 'O', 'O', 'OBJ', 'O', 'O', 'OBJ', '.']","['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'REC', 'REC', '-', 'REC', 'V', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'OBJ', 'O', 'ACTOR', 'ACTOR', 'O', 'ACTOR', 'O', 'O', 'ACTOR', 'V', 'O', 'ACTOR', 'O', 'O', '-', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'REC', 'REC', '-', 'REC', 'V', 'O', 'O', 'O', 'O', 'O', 'O', '.']",,,,,,25,25,25,25,25
"['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'O', 'OBJ', 'OBJ', '-', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']","['O', 'ACTOR', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'ACTOR', '-', 'ACTOR', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']","['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'O', 'OBJ', 'OBJ', '-', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']","['ACTOR', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'V', 'O', 'ACTOR', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'V', 'O', '.']","['O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', '-', 'ACTOR', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']",,,,,,27,27,27,27,27
"['OBJ', 'OBJ', 'V', 'O', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', '.']","['OBJ', 'OBJ', 'V', 'O', 'O', 'O', '.']","['ACTOR', 'OBJ', 'V', 'O', 'O', 'O', '.']","['O', 'ACTOR', 'V', 'O', 'O', 'O', '.']",,,,,,7,7,7,7,7
"['OBJ', 'OBJ', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['O', 'ACTOR', 'V', 'V', 'O', 'O', 'OBJ', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'ACTOR', 'O', 'V', 'OBJ', '.']","['OBJ', 'OBJ', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'V', 'V', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'O', 'O', 'O', 'V', 'O', 'O', 'O', '.']","['O', 'ACTOR', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'V', 'OBJ', '.']",,,,,,18,18,18,18,18
"['OBJ', 'OBJ', 'V', 'O', 'O', '.']","['O', 'ACTOR', 'V', 'O', 'OBJ', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', '.']","['O', 'ACTOR', 'V', 'O', 'O', '.']",,,,,,6,6,6,6,6
"['O', 'O', 'O', 'O', 'V', 'OBJ', 'V', 'O', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', '.']","['O', 'O', 'OBJ', 'OBJ', 'V', 'OBJ', 'V', 'O', 'O', 'OBJ', 'O', 'O', 'OBJ', 'OBJ', '.']","['O', 'OBJ', 'OBJ', 'OBJ', 'V', 'V', 'V', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', 'REC', '.']","['O', 'O', 'O', 'O', 'V', 'O', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'O', 'O', '.']","['O', 'OBJ', 'OBJ', 'OBJ', 'V', 'OBJ', 'V', 'O', 'OBJ', 'OBJ', 'O', 'OBJ', 'OBJ', 'OBJ', '.']",,,,,,15,15,15,15,15
"['O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'OBJ', 'OBJ', 'OBJ', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'O', 'O', 'O', 'O', ',', 'V', 'ACTOR', 'ACTOR', 'ACTOR', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'OBJ', 'OBJ', 'OBJ', 'V', '.']","['O', 'ACTOR', 'OBJ', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'O', 'O', 'O', 'V', '.']","['O', 'O', 'OBJ', 'O', 'O', 'OBJ', ',', 'V', 'O', 'O', 'O', 'OBJ', ',', 'V', 'O', 'ACTOR', 'ACTOR', 'V', '.']",,,,,,19,19,19,19,19
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', 'O', ':']","['O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'OBJ', 'V', 'V', 'O', ':']","['O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'V', 'O', '.']","['O', 'ACTOR', 'ACTOR', 'O', 'ACTOR', 'O', 'O', 'O', 'V', 'V', 'O', ':']","['O', 'OBJ', 'OBJ', 'O', 'OBJ', 'O', 'O', 'OBJ', 'V', 'V', 'O', ':']",,,,,,12,12,12,12,12
"['ACTOR', 'ACTOR', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'O', 'O', 'O', 'V']","['O', 'ACTOR', 'O', 'O', 'OBJ', 'O', 'OBJ', 'O', 'O', 'OBJ', 'V']","['ACTOR', 'ACTOR', 'ACTOR', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V']","['O', 'O', 'ACTOR', 'ACTOR', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'V']","['ACTOR', 'ACTOR', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'O', 'OBJ', 'OBJ', 'V']",,,,,,11,11,11,11,11
"['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', ',', 'V', 'O']","['O', 'ACTOR', 'ACTOR', 'O', 'ACTOR', ',', 'V', 'O']","['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', ',', 'V', 'O']","['ACTOR', 'ACTOR', 'O', 'O', 'O', ',', 'V', 'O']","['O', 'ACTOR', 'ACTOR', 'O', 'ACTOR', ',', 'V', 'O']",,,,,,8,8,8,8,8
"['ACTOR', 'ACTOR', 'ACTOR', 'O', 'OBJ', 'OBJ', 'V', 'V', 'O', 'OBJ', 'OBJ', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O']","['ACTOR', 'ACTOR', 'ACTOR', 'O', 'OBJ', 'OBJ', 'V', 'V', 'O', 'OBJ', 'OBJ', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', ',', 'O']","['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'OBJ', 'OBJ', 'V', 'V', 'O', 'OBJ', 'OBJ', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['O', 'O', 'ACTOR', 'O', 'O', 'O', 'V', 'V', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'V', 'V', 'O', ',', 'O']","['O', 'O', 'ACTOR', 'O', 'O', 'OBJ', 'V', 'V', 'O', 'O', 'OBJ', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', ',', 'O']",,,,,,25,25,25,25,25
"['REC', 'REC', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'V']","['REC', 'REC', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'V']","['REC', 'REC', 'REC', 'REC', 'OBJ', 'OBJ', 'V', 'V']","['REC', 'REC', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'V']","['REC', 'REC', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'V']",,,,,,8,8,8,8,8
"['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'O', 'REC', 'REC', 'REC', 'REC', '-', 'REC']","['O', 'OBJ', 'O', 'OBJ', 'O', 'OBJ', 'O', 'V', 'V', 'O', 'REC', 'REC', 'O', 'O', '-', 'REC']","['ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'O', 'V', 'V', 'O', 'REC', 'REC', 'REC', 'REC', '-', 'REC']","['ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', '-', 'REC']","['O', 'ACTOR', 'O', 'OBJ', 'O', 'OBJ', 'O', 'V', 'V', 'O', 'O', 'REC', 'O', 'O', '-', 'REC']",,,,,,16,16,16,16,16
